NO,NGA,Scale_Fac,D5_75sec,D5_95sec,Evnt_Name,Year,Station,Mw,Mechanism,Rrup_km,Vs30,CMS_sec,Return_Period,gm00xx,Nick_Name
1,12974,0.83,3.2,5.4," ""30226086""",2003," ""Healdsburg; Fire Station""",4, strike slip,7.65,377.93,0.2,43,gm001,CMS0.2s_43years_gm001
2,12991,0.61,1.9,4," ""21305648""",2003," ""Albany; Fire Station No. 1""",4, strike slip,12.13,299.37,0.2,43,gm002,CMS0.2s_43years_gm002
3,13714,2.02,3.2,8," ""40219867""",2008," ""Lake Crowley - Hwy 395 Bridge""",3.9, Normal Oblique,13.02,305.35,0.2,43,gm003,CMS0.2s_43years_gm003
4,14108,1.41,3.5,7.5," ""21549695""",2006," ""Ramage Ranch_ Paso Robles_ CA_ USA""",3.8, strike slip,12.02,300,0.2,43,gm004,CMS0.2s_43years_gm004
5,14926,0.68,3.9,9.7," ""21549979""",2006," ""Hollister - South & Pine""",3.7, strike slip,5.32,282.14,0.2,43,gm005,CMS0.2s_43years_gm005
6,15393,2.35,2.5,7.4," ""14376612""",2008," ""Colton_ Grape St. and W. Mill""",3.99, strike slip,16.15,267.92,0.2,43,gm006,CMS0.2s_43years_gm006
7,15655,3.97,5.6,11.4," ""9915709""",2003," ""Thermal Airport""",3.87, strike slip,19.82,217.84,0.2,43,gm007,CMS0.2s_43years_gm007
8,18439,2.99,9.9,23.8," ""21423530""",2004," ""Parkfield - Gold Hill 1W""",4.17, strike slip,19.59,214.43,0.2,43,gm008,CMS0.2s_43years_gm008
9,18446,3.31,4.2,8.1," ""21438324""",2005," ""Hog Canyon""",3.54, strike slip,13.04,376,0.2,43,gm009,CMS0.2s_43years_gm009
10,18800,1.31,5.4,10.1," ""71336726""",2010," ""Davis St._ Fremont_ CA""",4.05, strike slip,19.08,271.26,0.2,43,gm0010,CMS0.2s_43years_gm0010
11,SANA,2.8,,,Chiang Mai ,2022,SANA,4.1, strike slip,10,300,0.2,100,gm001,CMS0.2s_100years_gm001
12,99,0.39,3.6,10.9," ""Hollister-03""",1974," ""Hollister City Hall""",5.14, strike slip,9.39,198.77,0.2,100,gm002,CMS0.2s_100years_gm002
13,229,0.66,3.3,5.4," ""Anza (Horse Canyon)-01""",1980," ""Rancho De Anza""",5.19, strike slip,21.32,329,0.2,100,gm003,CMS0.2s_100years_gm003
14,2020,0.27,2.2,6.1," ""Gilroy""",2002," ""Gilroy Array #3""",4.9, strike slip,9.77,349.85,0.2,100,gm004,CMS0.2s_100years_gm004
15,2057,1.51,4.3,10.9," ""Yorba Linda""",2002," ""La Habra""",4.265, strike slip,17.35,331.73,0.2,100,gm005,CMS0.2s_100years_gm005
16,9630,4,3.2,13.5," ""10410337""",2009," ""Los Angeles""",4.7, strike slip,17.6,307.46,0.2,100,gm006,CMS0.2s_100years_gm006
17,10837,1.84,3.3,10.1," ""14312160""",2007," ""Jensen Filter Plant""",4.66, Reverse,12.48,373.07,0.2,100,gm007,CMS0.2s_100years_gm007
18,11085,1.17,5.2,9.3," ""21530368""",2006," ""Sonoma""",4.5, strike slip,14.01,364.45,0.2,100,gm008,CMS0.2s_100years_gm008
19,11503,1.4,3.2,6.5," ""10275733""",2007," ""Corona""",4.73, strike slip,18.67,354.82,0.2,100,gm009,CMS0.2s_100years_gm009
20,18496,3.44,1.8,8.4," ""51182151""",2007," ""Parkfield - Cholame 5W""",4.01, strike slip,21.11,236.59,0.2,100,gm0010,CMS0.2s_100years_gm0010
21,374,1.4,3.7,6," ""Coalinga-02""",1983," ""Burnett Construction""",5.09, Reverse,17.4,352.2,0.2,225,gm001,CMS0.2s_225years_gm001
22,397,0.7,2.2,7.3," ""Coalinga-04""",1983," ""Coalinga-14th""",5.18, Reverse,13.88,286.41,0.2,225,gm002,CMS0.2s_225years_gm002
23,2026,2.58,7.6,24.1," ""Gilroy""",2002," ""Hollister - South & Pine""",4.9, strike slip,22.88,282.14,0.2,225,gm003,CMS0.2s_225years_gm003
24,3691,0.61,1,10.4," ""Whittier Narrows-02""",1987," ""Buena Park - La Palma""",5.27, Reverse Oblique,25.42,270.96,0.2,225,gm004,CMS0.2s_225years_gm004
25,3692,1.25,5.8,11.8," ""Whittier Narrows-02""",1987," ""Burbank - N Buena Vista""",5.27, Reverse Oblique,25.98,320.57,0.2,225,gm005,CMS0.2s_225years_gm005
26,3697,2.76,7.6,12.3," ""Whittier Narrows-02""",1987," ""Carson - Water St""",5.27, Reverse Oblique,29.09,160.58,0.2,225,gm006,CMS0.2s_225years_gm006
27,3700,2.04,6.9,13.1," ""Whittier Narrows-02""",1987," ""Covina - W Badillo""",5.27, Reverse Oblique,20.06,324.79,0.2,225,gm007,CMS0.2s_225years_gm007
28,9560,0.79,4.7,11.8," ""10410337""",2009," ""Torrance""",4.7, strike slip,13.82,319.92,0.2,225,gm008,CMS0.2s_225years_gm008
29,9573,2.66,3.2,9.9," ""10410337""",2009," ""Inglewood""",4.7, strike slip,10.58,371.97,0.2,225,gm009,CMS0.2s_225years_gm009
30,10863,2.6,4.2,13.4," ""14312160""",2007," ""Canoga Park""",4.66, Reverse,12,285.93,0.2,225,gm0010,CMS0.2s_225years_gm0010
31,416,1.02,0.6,7.3," ""Coalinga-06""",1983," ""Coalinga-14th""",4.89, Reverse,7.97,286.41,0.2,475,gm001,CMS0.2s_475years_gm001
32,493,2.52,3,5.6," ""Drama_ Greece""",1985," ""Drama""",5.2, Normal Oblique,11.61,324.55,0.2,475,gm002,CMS0.2s_475years_gm002
33,562,1.33,3.6,16.2," ""Chalfant Valley-04""",1986," ""Bishop""",5.44, strike slip,23.99,303.47,0.2,475,gm003,CMS0.2s_475years_gm003
34,1670,1.4,3.6,7.4," ""Northridge-03""",1994," ""Newhall - Fire Sta""",5.2, Reverse,7.65,269.14,0.2,475,gm004,CMS0.2s_475years_gm004
35,1706,2.79,7.3,14.9," ""Northridge-06""",1994," ""LA - Baldwin Hills""",5.28, Reverse,23.94,297.07,0.2,475,gm005,CMS0.2s_475years_gm005
36,8623,2.13,5.6,13," ""40204628""",2007," ""San Jose""",5.45, strike slip,17.66,282.81,0.2,475,gm006,CMS0.2s_475years_gm006
37,8654,3.13,10.8,26.5," ""40204628""",2007," ""Sunnyvale""",5.45, strike slip,21.87,348.66,0.2,475,gm007,CMS0.2s_475years_gm007
38,10846,2.99,2.7,11.3," ""14312160""",2007," ""Northridge""",4.66, Reverse,8.44,308.76,0.2,475,gm008,CMS0.2s_475years_gm008
39,10852,2.06,1.4,5," ""14312160""",2007," ""Newhall - Fire Sta""",4.66, Reverse,11.52,269.14,0.2,475,gm009,CMS0.2s_475years_gm009
40,12055,3.71,2.7,6.1," ""14116972""",2005," ""San Bernardino""",4.42, strike slip,8.48,251.443,0.2,475,gm0010,CMS0.2s_475years_gm0010
41,257,2.01,3.5,10.9," ""Mammoth Lakes-08""",1980," ""Cashbaugh (CBR)""",4.8, strike slip,9.64,337.6,0.2,975,gm001,CMS0.2s_975years_gm001
42,311,1.87,3.8,13.7," ""Taiwan SMART1(5)""",1981," ""SMART1 O01""",5.9, Reverse,28.31,267.67,0.2,975,gm002,CMS0.2s_975years_gm002
43,396,1.61,4.5,8.8," ""Coalinga-04""",1983," ""Burnett Construction""",5.18, Reverse,14.79,352.2,0.2,975,gm003,CMS0.2s_975years_gm003
44,543,2.97,5.7,18.5," ""Chalfant Valley-01""",1986," ""Benton""",5.77, strike slip,24.33,370.94,0.2,975,gm004,CMS0.2s_975years_gm004
45,1681,1.8,3.5,10," ""Northridge-04""",1994," ""Moorpark - Fire Sta""",5.93, Reverse Oblique,15.43,341.58,0.2,975,gm005,CMS0.2s_975years_gm005
46,3561,1.33,3.2,11.5," ""Taiwan SMART1(5)""",1981," ""SMART1 M02""",5.9, Reverse,27.12,306.78,0.2,975,gm006,CMS0.2s_975years_gm006
47,3628,2.92,6.6,11.4," ""Taiwan SMART1(33)""",1985," ""SMART1 O04""",5.8, Normal,39.75,288.24,0.2,975,gm007,CMS0.2s_975years_gm007
48,3731,3.09,4.8,9.5," ""Whittier Narrows-02""",1987," ""Pacoima Kagel""",5.27, Reverse Oblique,36.79,323.76,0.2,975,gm008,CMS0.2s_975years_gm008
49,8771,1.76,9.9,22.28," ""14383980""",2008," ""Barre Substation""",5.39, Reverse Oblique,26.25,265.59,0.2,975,gm009,CMS0.2s_975years_gm009
50,9552,2.54,0.6,8.5," ""10410337""",2009," ""Los Angeles""",4.7, strike slip,12.71,248.85,0.2,975,gm0010,CMS0.2s_975years_gm0010
51,314,2.6,3.6,8.8," ""Westmorland""",1981," ""Brawley Airport""",5.9, strike slip,15.41,208.71,0.2,2475,gm001,CMS0.2s_2475years_gm001
52,499,3.19,8.4,20.6," ""Hollister""",1986," ""Hollister Differential""",5.45, strike slip,14.11,215.54,0.2,2475,gm002,CMS0.2s_2475years_gm002
53,627,1.94,3.9,14.4," ""Whittier Narrows""",1987," ""LA - Baldwin Hills""",5.99, Reverse Oblique,25.94,297.07,0.2,2475,gm003,CMS0.2s_2475years_gm003
54,695,1.34,2.9,8.8," ""Whittier Narrows""",1987," ""Sun Valley - Roscoe Blvd""",5.99, Reverse Oblique,34.99,320.93,0.2,2475,gm004,CMS0.2s_2475years_gm004
55,930,2.45,11.7,22," ""Big Bear""",1992," ""San Bernardino""",6.46, strike slip,33.79,325.83,0.2,2475,gm005,CMS0.2s_2475years_gm005
56,947,3.32,9.8,17.8," ""Northridge""",1994," ""Arcadia - Arcadia""",6.69, Reverse,39.73,330.5,0.2,2475,gm006,CMS0.2s_2475years_gm006
57,1750,1.3,3.4,17.6," ""Northwest China""",1997," ""Jiashi""",5.93, Normal,37.26,240.09,0.2,2475,gm007,CMS0.2s_2475years_gm007
58,3572,1.51,2.4,11.9," ""Taiwan """,1981," ""SMART1 O03""",5.9, Reverse,26.55,278.32,0.2,2475,gm008,CMS0.2s_2475years_gm008
59,4276,3.38,3.4,7.9," ""Friuli Italy""",1976," ""Buia""",5.5, Reverse,12.39,310.68,0.2,2475,gm009,CMS0.2s_2475years_gm009
60,8660,3.94,6,19.7," ""40204628""",2007," ""Santa Clara""",5.45, strike slip,19.49,273.32,0.2,2475,gm0010,CMS0.2s_2475years_gm0010
61,96,1.71,2.8,8.1," ""Managua_ Nicaragua-02""",1972," ""Managua""",5.2, strike slip,4.98,288.77,0.2,5000,gm001,CMS0.2s_5000years_gm001
62,149,2.18,11,," ""Coyote Lake""",1979," ""Gilroy Array #4""",5.74, strike slip,5.7,221.78,0.2,5000,gm002,CMS0.2s_5000years_gm002
63,191,2.1,11.3,34.3," ""Imperial Valley-06""",1979," ""Victoria""",6.53, strike slip,31.92,242.05,0.2,5000,gm003,CMS0.2s_5000years_gm003
64,367,1.59,5.3,11.6," ""Coalinga-01""",1983," ""Pleasant Valley""",6.36, Reverse,8.41,257.38,0.2,5000,gm004,CMS0.2s_5000years_gm004
65,406,1.11,8.5,," ""Coalinga-05""",1983," ""Coalinga-14th & Elm (Old CHP)""",5.77, Reverse,10.78,286.41,0.2,5000,gm005,CMS0.2s_5000years_gm005
66,629,2.73,6.3,17," ""Whittier Narrows-01""",1987," ""LA - Century City""",5.99, Reverse Oblique,29.89,277.98,0.2,5000,gm006,CMS0.2s_5000years_gm006
67,992,1.97,8.4,15.5," ""Northridge-01""",1994," ""LA Vernon Ave""",6.69, Reverse,36.75,283.14,0.2,5000,gm007,CMS0.2s_5000years_gm007
68,1707,3.33,3.9,8.7," ""Northridge-06""",1994," ""LA - Century City""",5.28, Reverse,19.72,277.98,0.2,5000,gm008,CMS0.2s_5000years_gm008
69,1752,1.32,3,13.5," ""Northwest China-03""",1997," ""Jiashi""",6.1, Normal,17.73,240.09,0.2,5000,gm009,CMS0.2s_5000years_gm009
70,4120,2.17,6.4,12.5," ""Parkfield-02_ CA""",2004," ""Parkfield - Gold Hill""",6, strike slip,3.38,290.5,0.2,5000,gm0010,CMS0.2s_5000years_gm0010
71,13201,3.91,6.7,15.3," ""10223765""",2006," ""La Quinta""",4.11, strike slip,26.09,360.32,0.3,43,gm001,CMS0.3s_43years_gm001
72,14108,2.94,3.5,7.5," ""21549695""",2006," ""Ramage Ranch""",3.8, strike slip,12.02,300,0.3,43,gm002,CMS0.3s_43years_gm002
73,14179,3.41,9.9,19.8," ""9968525""",2003," ""Los Alamos County Park""",3.69, strike slip,22.35,259,0.3,43,gm003,CMS0.3s_43years_gm003
74,14924,1.49,4.4,9.4," ""21549979""",2006," ""Hollister""",3.7, strike slip,6.93,288.67,0.3,43,gm004,CMS0.3s_43years_gm004
75,15189,3.87,1.1,4.9," ""14239184""",2006," ""Riverside Surface""",3.9, Normal Oblique,25.62,360,0.3,43,gm005,CMS0.3s_43years_gm005
76,15261,2.46,1.8,7.3," ""10249565""",2007," ""Colton""",3.86, strike slip,18.58,267.92,0.3,43,gm006,CMS0.3s_43years_gm006
77,18436,2.19,4.7,14.2," ""21423530""",2004," ""Parkfield""",4.17, strike slip,30.94,173.02,0.3,43,gm007,CMS0.3s_43years_gm007
78,18437,1.67,6.8,16.5," ""21423530""",2004," ""Parkfield""",4.17, strike slip,27.98,178.27,0.3,43,gm008,CMS0.3s_43years_gm008
79,18789,3.36,6.1,15," ""71336726""",2010," ""Lake Pillsbury""",4.05, strike slip,27.36,260.4,0.3,43,gm009,CMS0.3s_43years_gm009
80,21503,2.9,0.5,2.1," ""51177103""",2006," ""San Francisco""",3.6, strike slip,18.66,238.66,0.3,43,gm0010,CMS0.3s_43years_gm0010
81,12574,2.67,2.6,8.9," ""51207740""",2008," ""Alameda""",4.1, strike slip,28.59,207.92,0.3,100,gm001,CMS0.3s_100years_gm001
82,12837,2.81,2.7,5.5," ""14073800""",2004," ""Cactus City""",4.02, strike slip,14.52,370,0.3,100,gm002,CMS0.3s_100years_gm002
83,12991,2.38,1.9,4," ""21305648""",2003," ""Albany""",4, strike slip,12.13,299.37,0.3,100,gm003,CMS0.3s_100years_gm003
84,14924,2.66,4.4,9.4," ""21549979""",2006," ""Hollister""",3.7, strike slip,6.93,288.67,0.3,100,gm004,CMS0.3s_100years_gm004
85,18436,3.91,4.7,14.2," ""21423530""",2004," ""Parkfield""",4.17, strike slip,30.94,173.02,0.3,100,gm005,CMS0.3s_100years_gm005
86,18495,3.49,3.3,6.2," ""51182151""",2007," ""Parkfield""",4.01, strike slip,15.07,308.87,0.3,100,gm006,CMS0.3s_100years_gm006
87,18503,1.73,1.9,4.4," ""51182151""",2007," ""Parkfield""",4.01, strike slip,8.8,308.84,0.3,100,gm007,CMS0.3s_100years_gm007
88,18760,2.57,0.6,3.7," ""71336726""",2010," ""Mountain View""",4.05, strike slip,26.73,286.85,0.3,100,gm008,CMS0.3s_100years_gm008
89,18917,3.8,2.4,4.7," ""71337451""",2010," ""Longford""",3.73, Reverse Oblique,14.44,290.17,0.3,100,gm009,CMS0.3s_100years_gm009
90,21410,1.33,4.1,5.8," ""51207740""",2008," ""San Leandro Hills""",4.1, strike slip,22.17,378,0.3,100,gm0010,CMS0.3s_100years_gm0010
91,99,0.66,3.6,10.9," ""Hollister-03""",1974," ""Hollister City Hall""",5.14, strike slip,9.39,198.77,0.3,225,gm001,CMS0.3s_225years_gm001
92,111,3.16,2.6,5.9," ""Oroville-04""",1975," ""Up & Down Cafe""",4.37, Normal Oblique,12.18,377.25,0.3,225,gm002,CMS0.3s_225years_gm002
93,197,2.29,2.3,5.3," ""Imperial Valley-07""",1979," ""El Centro Array""",5.01, strike slip,24.84,237.33,0.3,225,gm003,CMS0.3s_225years_gm003
94,204,0.41,1,6.5," ""Imperial Valley-07""",1979," ""El Centro Array""",5.01, strike slip,10.37,203.22,0.3,225,gm004,CMS0.3s_225years_gm004
95,252,0.59,1.4,8.2," ""Mammoth Lakes-07""",1980," ""Green Church""",4.73, strike slip,5.17,353.2,0.3,225,gm005,CMS0.3s_225years_gm005
96,396,0.78,4.5,8.8," ""Coalinga-04""",1983," ""Burnett Construction""",5.18, Reverse,14.79,352.2,0.3,225,gm006,CMS0.3s_225years_gm006
97,6111,3.01,4.2,9.9," ""Yorba Linda""",2002," ""Pomona""",4.265, strike slip,16.8,368.88,0.3,225,gm007,CMS0.3s_225years_gm007
98,9590,0.8,1,3.4," ""10410337""",2009," ""Long Beach""",4.7, strike slip,18.89,270.56,0.3,225,gm008,CMS0.3s_225years_gm008
99,10845,2.09,0.8,3.8," ""14312160""",2007," ""Santa Monica""",4.66, Reverse,32.44,367.76,0.3,225,gm009,CMS0.3s_225years_gm009
100,10871,3.92,3.6,11," ""14312160""",2007," ""Piru - Church St""",4.66, Reverse,19.83,371.58,0.3,225,gm0010,CMS0.3s_225years_gm0010
101,204,0.66,1,6.5," ""Imperial Valley-07""",1979," ""El Centro Array #6""",5.01, strike slip,10.37,203.22,0.3,475,gm001,CMS0.3s_475years_gm001
102,229,2.35,3.3,5.4," ""Anza (Horse Canyon)-01""",1980," ""Rancho De Anza""",5.19, strike slip,21.32,329,0.3,475,gm002,CMS0.3s_475years_gm002
103,396,1.27,4.5,8.8," ""Coalinga-04""",1983," ""Burnett Construction""",5.18, Reverse,14.79,352.2,0.3,475,gm003,CMS0.3s_475years_gm003
104,556,3.52,7,11.5," ""Chalfant Valley-02""",1986," ""McGee Creek""",6.19, strike slip,30.11,359.23,0.3,475,gm004,CMS0.3s_475years_gm004
105,617,1.13,3.9,9.2," ""Whittier Narrows-01""",1987," ""Featherly Park - Maint""",5.99, Reverse Oblique,37.92,367.54,0.3,475,gm005,CMS0.3s_475years_gm005
106,1674,2.04,12.2,13," ""Northridge-03""",1994," ""Tarzana - Cedar Hill A""",5.2, Reverse,19.89,257.21,0.3,475,gm006,CMS0.3s_475years_gm006
107,3565,1.28,3.5,13.9," ""Taiwan SMART1(5)""",1981," ""SMART1 M06""",5.9, Reverse,25.61,308.39,0.3,475,gm007,CMS0.3s_475years_gm007
108,4259,2.03,4.7,11.6," ""Ancona-09_ Italy""",1972," ""Ancona-Palombina""",4.7, strike slip,13.16,256,0.3,475,gm008,CMS0.3s_475years_gm008
109,9831,2.12,3.9,9.8," ""51182810""",2007," ""Mammoth Lakes""",4.6, strike slip,19.38,317,0.3,475,gm009,CMS0.3s_475years_gm009
110,10845,3.42,0.8,3.8," ""14312160""",2007," ""Santa Monica""",4.66, Reverse,32.44,367.76,0.3,475,gm0010,CMS0.3s_475years_gm0010
111,149,0.88,5,11," ""Coyote Lake""",1979," ""Gilroy Array #4""",5.74, strike slip,5.7,221.78,0.3,975,gm001,CMS0.3s_975years_gm001
112,617,1.73,3.9,9.2," ""Whittier Narrows-01""",1987," ""Featherly Park""",5.99, Reverse Oblique,37.92,367.54,0.3,975,gm002,CMS0.3s_975years_gm002
113,1644,0.89,2.1,8.8," ""Sierra Madre""",1991," ""Obregon Park""",5.61, Reverse,27.4,349.43,0.3,975,gm003,CMS0.3s_975years_gm003
114,1674,3.12,12.2,13," ""Northridge-03""",1994," ""Tarzana - Cedar Hill A""",5.2, Reverse,19.89,257.21,0.3,975,gm004,CMS0.3s_975years_gm004
115,1693,2.14,4,9.4," ""Northridge-06""",1994," ""Arleta""",5.28, Reverse,12.06,297.71,0.3,975,gm005,CMS0.3s_975years_gm005
116,1697,1.49,1.4,3.2," ""Northridge-06""",1994," ""Burbank - N Buena Vista""",5.28, Reverse,17.62,320.57,0.3,975,gm006,CMS0.3s_975years_gm006
117,3830,0.87,2.1,5.7," ""Yountville""",2000," ""Napa""",5, strike slip,17.29,331.66,0.3,975,gm007,CMS0.3s_975years_gm007
118,4259,3.1,4.7,11.6," ""Ancona-09_ Italy""",1972," ""Ancona-Palombina""",4.7, strike slip,13.16,256,0.3,975,gm008,CMS0.3s_975years_gm008
119,4335,2,1.4,4.3," ""Umbria Marche""",1997," ""Assisi-Stallone""",5.7, Normal,23.48,376.6,0.3,975,gm009,CMS0.3s_975years_gm009
120,9549,2.67,1.2,6.2," ""10410337""",2009," ""Long Beach""",4.7, strike slip,28.69,226.29,0.3,975,gm0010,CMS0.3s_975years_gm0010
121,391,2.38,4,14.8," ""Coalinga-03""",1983," ""Burnett Construction""",5.38, Reverse,13.45,352.2,0.3,2475,gm001,CMS0.3s_2475years_gm001
