record_no,gm_id,nickname,source_database,redistribution,nga_record_id,earthquake_name,year,station_name,mw,mechanism,rrup_km,vs30_mps,scale_factor,D5_75_s,D5_95_s,cms_period_s,return_period_yr
90,gm0010,CMS0.3s_100years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),21410,51207740,2008,San Leandro Hills,4.1, strike slip,22.17,378.0,1.33,4.1,5.8,0.3,100
91,gm001,CMS0.3s_225years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),99,Hollister-03,1974,Hollister City Hall,5.14, strike slip,9.39,198.77,0.66,3.6,10.9,0.3,225
92,gm002,CMS0.3s_225years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),111,Oroville-04,1975,Up & Down Cafe,4.37, Normal Oblique,12.18,377.25,3.16,2.6,5.9,0.3,225
93,gm003,CMS0.3s_225years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),197,Imperial Valley-07,1979,El Centro Array,5.01, strike slip,24.84,237.33,2.29,2.3,5.3,0.3,225
94,gm004,CMS0.3s_225years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),204,Imperial Valley-07,1979,El Centro Array,5.01, strike slip,10.37,203.22,0.41,1.0,6.5,0.3,225
95,gm005,CMS0.3s_225years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),252,Mammoth Lakes-07,1980,Green Church,4.73, strike slip,5.17,353.2,0.59,1.4,8.2,0.3,225
96,gm006,CMS0.3s_225years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,0.78,4.5,8.8,0.3,225
97,gm007,CMS0.3s_225years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),6111,Yorba Linda,2002,Pomona,4.265, strike slip,16.8,368.88,3.01,4.2,9.9,0.3,225
98,gm008,CMS0.3s_225years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9590,10410337,2009,Long Beach,4.7, strike slip,18.89,270.56,0.8,1.0,3.4,0.3,225
99,gm009,CMS0.3s_225years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10845,14312160,2007,Santa Monica,4.66, Reverse,32.44,367.76,2.09,0.8,3.8,0.3,225
100,gm0010,CMS0.3s_225years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10871,14312160,2007,Piru - Church St,4.66, Reverse,19.83,371.58,3.92,3.6,11.0,0.3,225
101,gm001,CMS0.3s_475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),204,Imperial Valley-07,1979,El Centro Array #6,5.01, strike slip,10.37,203.22,0.66,1.0,6.5,0.3,475
102,gm002,CMS0.3s_475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),229,Anza (Horse Canyon)-01,1980,Rancho De Anza,5.19, strike slip,21.32,329.0,2.35,3.3,5.4,0.3,475
103,gm003,CMS0.3s_475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,1.27,4.5,8.8,0.3,475
104,gm004,CMS0.3s_475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),556,Chalfant Valley-02,1986,McGee Creek,6.19, strike slip,30.11,359.23,3.52,7.0,11.5,0.3,475
105,gm005,CMS0.3s_475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),617,Whittier Narrows-01,1987,Featherly Park - Maint,5.99, Reverse Oblique,37.92,367.54,1.13,3.9,9.2,0.3,475
106,gm006,CMS0.3s_475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1674,Northridge-03,1994,Tarzana - Cedar Hill A,5.2, Reverse,19.89,257.21,2.04,12.2,13.0,0.3,475
107,gm007,CMS0.3s_475years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3565,Taiwan SMART1(5),1981,SMART1 M06,5.9, Reverse,25.61,308.39,1.28,3.5,13.9,0.3,475
108,gm008,CMS0.3s_475years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4259,Ancona-09_ Italy,1972,Ancona-Palombina,4.7, strike slip,13.16,256.0,2.03,4.7,11.6,0.3,475
109,gm009,CMS0.3s_475years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9831,51182810,2007,Mammoth Lakes,4.6, strike slip,19.38,317.0,2.12,3.9,9.8,0.3,475
110,gm0010,CMS0.3s_475years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10845,14312160,2007,Santa Monica,4.66, Reverse,32.44,367.76,3.42,0.8,3.8,0.3,475
111,gm001,CMS0.3s_975years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),149,Coyote Lake,1979,Gilroy Array #4,5.74, strike slip,5.7,221.78,0.88,5.0,11.0,0.3,975
112,gm002,CMS0.3s_975years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),617,Whittier Narrows-01,1987,Featherly Park,5.99, Reverse Oblique,37.92,367.54,1.73,3.9,9.2,0.3,975
113,gm003,CMS0.3s_975years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1644,Sierra Madre,1991,Obregon Park,5.61, Reverse,27.4,349.43,0.89,2.1,8.8,0.3,975
114,gm004,CMS0.3s_975years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1674,Northridge-03,1994,Tarzana - Cedar Hill A,5.2, Reverse,19.89,257.21,3.12,12.2,13.0,0.3,975
115,gm005,CMS0.3s_975years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1693,Northridge-06,1994,Arleta,5.28, Reverse,12.06,297.71,2.14,4.0,9.4,0.3,975
116,gm006,CMS0.3s_975years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1697,Northridge-06,1994,Burbank - N Buena Vista,5.28, Reverse,17.62,320.57,1.49,1.4,3.2,0.3,975
117,gm007,CMS0.3s_975years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3830,Yountville,2000,Napa,5.0, strike slip,17.29,331.66,0.87,2.1,5.7,0.3,975
118,gm008,CMS0.3s_975years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4259,Ancona-09_ Italy,1972,Ancona-Palombina,4.7, strike slip,13.16,256.0,3.1,4.7,11.6,0.3,975
119,gm009,CMS0.3s_975years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4335,Umbria Marche,1997,Assisi-Stallone,5.7, Normal,23.48,376.6,2.0,1.4,4.3,0.3,975
120,gm0010,CMS0.3s_975years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9549,10410337,2009,Long Beach,4.7, strike slip,28.69,226.29,2.67,1.2,6.2,0.3,975
121,gm001,CMS0.3s_2475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),391,Coalinga-03,1983,Burnett Construction,5.38, Reverse,13.45,352.2,2.38,4.0,14.8,0.3,2475
122,gm002,CMS0.3s_2475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),405,Coalinga-05,1983,Burnett Construction,5.77, Reverse,11.5,352.2,1.42,6.0,9.7,0.3,2475
123,gm003,CMS0.3s_2475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),418,Coalinga-07,1983,Coalinga-14th,5.21, Reverse,10.89,286.41,0.65,0.4,2.8,0.3,2475
124,gm004,CMS0.3s_2475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),652,Whittier Narrows-01,1987,Lakewood,5.99, Reverse Oblique,26.68,267.35,1.87,5.2,12.0,0.3,2475
125,gm005,CMS0.3s_2475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1141,Dinar_ Turkey,1995,Dinar,6.4, Normal,3.36,219.75,0.84,10.3,16.7,0.3,2475
126,gm006,CMS0.3s_2475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3564,Taiwan SMART1(5),1981,SMART1 M05,5.9, Reverse,25.79,306.38,2.17,3.1,12.4,0.3,2475
127,gm007,CMS0.3s_2475years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3565,Taiwan SMART1(5),1981,SMART1 M06,5.9, Reverse,25.61,308.39,2.93,3.5,13.9,0.3,2475
128,gm008,CMS0.3s_2475years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3856,Chi-Chi_ Taiwan-04,1999,CHY014,6.2, strike slip,37.91,347.63,2.69,5.6,9.7,0.3,2475
129,gm009,CMS0.3s_2475years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),4112,Parkfield-02_ CA,2004,Parkfield - Fault Zone 8,6.0, strike slip,3.95,308.84,0.94,4.4,8.5,0.3,2475
130,gm0010,CMS0.3s_2475years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),5265,Chuetsu-oki_ Japan,2007,NIG019,6.8, Reverse,23.36,372.33,0.83,8.1,22.8,0.3,2475
131,gm001,CMS0.3s_5000years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),412,Coalinga-05,1983,Pleasant Valley P.P. - yard,5.77, Reverse,16.05,257.38,1.34,3.4,7.3,0.3,5000
132,gm002,CMS0.3s_5000years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),418,Coalinga-07,1983,Coalinga-14th & Elm (Old CHP),5.21, Reverse,10.89,286.41,0.8,0.4,2.8,0.3,5000
133,gm003,CMS0.3s_5000years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),558,Chalfant Valley-02,1986,Zack Brothers Ranch,6.19, strike slip,7.58,316.19,1.04,2.6,8.1,0.3,5000
134,gm004,CMS0.3s_5000years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),708,Whittier Narrows-02,1987,Altadena - Eaton Canyon,5.27, Reverse Oblique,15.38,375.16,2.67,0.7,3.1,0.3,5000
135,gm005,CMS0.3s_5000years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1141,Dinar_ Turkey,1995,Dinar,6.4, Normal,3.36,219.75,1.03,10.3,16.7,0.3,5000
136,gm006,CMS0.3s_5000years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1670,Northridge-03,1994,Newhall - Fire Sta,5.2, Reverse,9.35,269.14,3.6,3.6,7.4,0.3,5000
137,gm007,CMS0.3s_5000years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3564,Taiwan SMART1(5),1981,SMART1 M05,5.9, Reverse,25.79,306.38,2.67,3.1,12.4,0.3,5000
138,gm008,CMS0.3s_5000years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3565,Taiwan SMART1(5),1981,SMART1 M06,5.9, Reverse,25.61,308.39,3.6,3.5,13.9,0.3,5000
139,gm009,CMS0.3s_5000years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),5265,Chuetsu-oki_ Japan,2007,NIG019,6.8, Reverse,23.36,372.33,1.02,8.1,22.8,0.3,5000
140,gm0010,CMS0.3s_5000years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),5620,Iwate_ Japan,2008,IWT012,6.9, Reverse,20.64,264.48,1.66,11.7,30.8,0.3,5000
141,gm001,CMS0.4s_43years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),252,Mammoth Lakes-07,1980,Green Church,4.73, strike slip,5.17,353.2,0.16,1.4,8.2,0.4,43
142,gm002,CMS0.4s_43years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2039,Gilroy,2002,San Juan Bautista_ 24 Polk St,4.9, strike slip,14.51,335.5,0.91,9.5,20.3,0.4,43
143,gm003,CMS0.4s_43years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10569,10370141,2009,Riverside - Hwy 91 & Van Buren,4.45, strike slip,27.51,333.31,1.26,4.7,10.6,0.4,43
144,gm004,CMS0.4s_43years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10583,10370141,2009,Riverside - Hwy 91 & Central,4.45, strike slip,22.77,323.4,0.75,0.8,3.1,0.4,43
145,gm005,CMS0.4s_43years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10587,10370141,2009,Riverside - Limonite & Downey,4.45, strike slip,25.46,329.84,2.49,4.3,11.2,0.4,43
146,gm006,CMS0.4s_43years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11495,10275733,2007,Riverside - Hwy 91 & Van Buren,4.73, strike slip,22.72,333.31,0.8,2.8,6.5,0.4,43
147,gm007,CMS0.4s_43years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11503,10275733,2007,Corona - Hwy 91 & McKinley,4.73, strike slip,18.67,354.82,1.43,3.2,6.5,0.4,43
148,gm008,CMS0.4s_43years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11509,10275733,2007,Corona - California Ave,4.73, strike slip,16.24,334.85,0.43,0.8,2.6,0.4,43
149,gm009,CMS0.4s_43years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11699,40234037,2009,San Jose - Hwy 101 & Metcalf Rd,4.3, strike slip,12.39,337.77,0.41,2.4,4.7,0.4,43
150,gm0010,CMS0.4s_43years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),12581,51207740,2008,Casto Valley - Chester & Castro Valley,4.1, strike slip,22.95,350.5,2.17,4.6,8.6,0.4,43
151,gm001,CMS0.4s_100years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),229,Anza (Horse Canyon)-01,1980,Rancho De Anza,5.19, strike slip,21.32,329.0,0.44,3.3,5.4,0.4,100
152,gm002,CMS0.4s_100years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2039,Gilroy,2002,San Juan Bautista_ 24 Polk St,4.9, strike slip,14.51,335.5,1.73,9.5,20.3,0.4,100
153,gm003,CMS0.4s_100years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9831,51182810,2007,Mammoth Lakes,4.6, strike slip,19.38,317.0,0.65,3.9,9.8,0.4,100
154,gm004,CMS0.4s_100years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10569,10370141,2009,Riverside - Hwy 91 & Van Buren,4.45, strike slip,27.51,333.31,2.38,4.7,10.6,0.4,100
155,gm005,CMS0.4s_100years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),10583,10370141,2009,Riverside - Hwy 91 & Central,4.45, strike slip,22.77,323.4,1.43,0.8,3.1,0.4,100
156,gm006,CMS0.4s_100years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11495,10275733,2007,Riverside - Hwy 91 & Van Buren,4.73, strike slip,22.72,333.31,1.51,2.8,6.5,0.4,100
157,gm007,CMS0.4s_100years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11503,10275733,2007,Corona - Hwy 91 & McKinley,4.73, strike slip,18.67,354.82,2.71,3.2,6.5,0.4,100
158,gm008,CMS0.4s_100years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11509,10275733,2007,Corona - California Ave,4.73, strike slip,16.24,334.85,0.8,0.8,2.6,0.4,100
159,gm009,CMS0.4s_100years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11648,51183708,2007,San Juan Bautista_ 24 Polk St,4.2, strike slip,9.42,335.5,2.57,3.3,8.2,0.4,100
160,gm0010,CMS0.4s_100years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11699,40234037,2009,San Jose - Hwy 101 & Metcalf Rd,4.3, strike slip,12.39,337.77,0.78,2.4,4.7,0.4,100
161,gm001,CMS0.4s_225years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),229,Anza (Horse Canyon)-01,1980,Rancho De Anza,5.19, strike slip,21.32,329.0,0.79,3.3,5.4,0.4,225
162,gm002,CMS0.4s_225years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),396,Coalinga-04,1983,Burnett Construction,5.18, Reverse,14.79,352.2,0.79,4.5,8.8,0.4,225
163,gm003,CMS0.4s_225years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1725,Northridge-06,1994,Panorama City - Roscoe,5.28, Reverse,11.6,318.16,1.09,2.4,4.0,0.4,225
164,gm004,CMS0.4s_225years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),2041,Gilroy,2002,Santa Cruz - Co Office Bldg Gnds,4.9, strike slip,36.87,321.91,1.96,4.5,10.6,0.4,225
165,gm005,CMS0.4s_225years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3690,Whittier Narrows-02,1987,Brea - S Flower Av,5.27, Reverse Oblique,25.43,322.75,1.24,3.2,10.0,0.4,225
166,gm006,CMS0.4s_225years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3830,Yountville,2000,Napa - Napa College,5.0, strike slip,17.29,331.66,0.25,2.1,5.7,0.4,225
167,gm007,CMS0.4s_225years_gm007,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),8887,14383980,2008,Santa Ana - I5 & 4th St,5.39, Reverse Oblique,25.13,305.54,1.15,5.5,13.9,0.4,225
168,gm008,CMS0.4s_225years_gm008,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),9593,10410337,2009,Long Beach - Los Coyotes & Stearns,4.7, strike slip,25.8,315.63,3.78,3.6,8.1,0.4,225
169,gm009,CMS0.4s_225years_gm009,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11495,10275733,2007,Riverside - Hwy 91 & Van Buren,4.73, strike slip,22.72,333.31,2.7,2.8,6.5,0.4,225
170,gm0010,CMS0.4s_225years_gm0010,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),11509,10275733,2007,Corona - California Ave,4.73, strike slip,16.24,334.85,1.44,0.8,2.6,0.4,225
171,gm001,CMS0.4s_475years_gm001,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),547,Chalfant Valley-01,1986,Zack Brothers Ranch,5.77, strike slip,6.39,316.19,0.41,3.1,11.5,0.4,475
172,gm002,CMS0.4s_475years_gm002,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),705,Whittier Narrows-01,1987,West Covina - S Orange Ave,5.99, Reverse Oblique,16.32,334.69,1.1,3.1,11.4,0.4,475
173,gm003,CMS0.4s_475years_gm003,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),1701,Northridge-06,1994,Hollywood - Willoughby Ave,5.28, Reverse,19.62,347.7,1.91,1.3,3.0,0.4,475
174,gm004,CMS0.4s_475years_gm004,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3568,Taiwan SMART1(5),1981,SMART1 M10,5.9, Reverse,27.02,321.63,1.57,4.0,12.8,0.4,475
175,gm005,CMS0.4s_475years_gm005,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3690,Whittier Narrows-02,1987,Brea - S Flower Av,5.27, Reverse Oblique,25.43,322.75,1.97,3.2,10.0,0.4,475
176,gm006,CMS0.4s_475years_gm006,PEER NGA-West2,No - obtain from PEER NGA-West2 (https://ngawest2.berkeley.edu),3707,Whittier Narrows-02,1987,Hacienda Heights - Colima,5.27, Reverse Oblique,18.51,337.0,3.88,1.8,12.0,0.4,475
